"participant_age"
28
47
28
22
19
23
20
18
17
20
15
19
34
25
36
31
35
15
17
27
24
56
21
20
19
21
78
24
23
25
83
41
22
45
72
24
26
17
41
45
21
21
26
29
79
30
19
35
18
10
27
27
26
29
35
29
21
20
17
15
17
18
36
32
23
20
36
53
29
53
25
31
17
17
23
26
35
35
27
33
26
21
38
43
21
45
45
26
26
18
21
38
56
25
21
31
25
27
25
21
22
22
39
19
36
39
59
41
70
18
27
20
20
47
50
29
18
36
21
43
53
21
23
20
41
47
37
28
36
41
20
19
19
18
17
21
23
36
20
18
22
25
45
55
20
20
20
23
17
37
36
27
23
28
40
27
29
53
45
27
26
28
29
20
17
22
16
27
33
47
63
40
15
20
20
24
23
26
22
18
30
26
27
30
18
23
17
28
16
64
41
26
20
18
18
54
46
24
34
12
14
51
58
31
23
20
15
26
35
31
34
25
27
76
21
19
23
22
51
35
2
19
16
20
28
23
28
49
21
33
23
39
41
31
33
18
35
37
48
38
24
55
20
24
31
21
42
23
33
32
25
36
39
43
22
19
30
20
20
45
18
15
38
33
34
24
40
24
26
25
29
17
29
30
30
58
42
63
17
42
34
37
20
35
13
37
20
20
22
21
50
42
20
67
33
28
29
49
42
31
34
23
40
24
23
23
27
38
46
25
37
54
30
24
19
61
18
19
15
32
25
42
25
39
24
38
17
18
41
14
25
16
25
29
26
25
27
24
14
24
23
21
46
51
23
20
24
31
39
31
16
30
25
15
34
29
37
29
36
30
58
25
49
32
29
23
47
25
16
27
26
39
32
34
19
28
39
19
56
68
27
62
24
27
40
21
22
33
19
29
22
19
20
17
22
22
20
58
35
16
29
31
24
22
19
19
38
28
28
32
35
26
25
17
24
39
30
21
73
20
19
19
21
21
22
21
29
26
22
45
28
26
29
27
26
21
40
21
22
22
31
41
40
36
34
33
22
22
50
27
49
23
21
18
18
33
25
17
19
17
25
48
29
15
39
20
42
54
43
25
32
24
27
26
30
39
21
24
27
31
30
42
41
30
24
45
24
22
52
19
27
24
23
19
30
18
16
16
18
13
57
33
43
16
27
25
33
20
32
24
28
22
25
29
28
39
20
18
33
32
29
23
23
20
25
49
45
30
26
24
24
18
24
17
22
25
17
30
30
23
19
17
27
28
31
22
21
29
23
45
35
17
19
32
39
29
22
21
36
24
34
19
26
28
30
20
60
27
59
30
25
16
22
22
23
32
16
15
22
24
58
27
22
28
28
26
22
24
24
18
48
61
27
27
29
19
17
28
18
17
21
18
18
30
32
22
19
20
33
27
30
21
32
40
34
44
43
17
35
29
31
23
56
23
55
23
23
34
36
62
23
22
60
28
31
42
54
50
21
21
22
25
18
19
18
19
18
17
54
30
45
33
53
33
24
36
41
26
36
27
31
27
20
19
38
24
28
19
18
20
24
24
26
28
16
60
30
21
25
52
31
18
15
12
11
21
43
45
25
67
25
16
19
56
34
35
28
39
44
24
32
23
63
25
28
33
43
18
33
27
35
45
40
56
28
36
35
19
50
39
61
40
38
23
25
20
23
18
17
15
74
43
22
20
42
16
17
22
47
31
18
25
55
15
61
23
46
20
54
20
28
16
24
14
45
30
26
34
22
30
31
21
20
38
29
36
19
70
20
31
28
22
22
55
29
47
23
51
22
28
15
19
18
19
18
16
19
35
23
63
23
22
35
54
31
33
37
31
23
30
29
18
16
15
22
43
42
31
42
38
19
56
32
24
57
36
19
22
19
21
22
21
31
17
22
23
30
26
31
30
25
24
22
18
42
18
35
25
41
35
70
36
17
24
21
38
30
21
27
22
36
24
16
18
21
23
21
16
39
32
30
42
26
26
18
25
23
20
61
62
52
49
19
18
40
30
18
53
19
20
38
43
37
26
26
32
23
16
29
49
51
29
26
23
29
43
20
19
28
21
35
18
39
23
19
16
17
19
17
16
37
34
48
27
30
26
16
17
19
19
47
34
31
34
30
31
24
28
35
29
28
42
60
42
21
28
20
25
20
24
19
23
28
26
17
18
30
20
22
21
31
30
18
18
20
46
34
22
20
37
20
24
22
23
21
27
25
24
38
28
25
20
31
24
44
27
24
33
20
17
17
17
32
39
23
38
22
30
21
39
31
21
48
17
23
22
15
20
21
28
23
22
35
31
22
33
48
34
17
36
16
50
16
16
18
19
18
21
27
31
15
50
16
17
18
18
18
22
19
51
18
17
23
32
15
63
65
27
74
31
27
31
38
30
18
34
15
34
19
19
18
18
19
22
23
19
18
18
29
19
19
19
16
22
27
22
22
27
36
13
32
47
32
19
26
44
57
32
29
65
15
16
45
25
18
42
24
50
21
43
24
38
30
19
18
23
25
22
65
32
23
19
25
30
42
55
18
24
26
44
38
22
19
38
36
26
63
25
19
16
17
21
65
65
49
21
20
25
35
29
35
16
23
20
20
26
30
19
21
57
19
24
35
43
18
30
17
27
30
31
23
33
23
24
41
34
24
29
25
45
19
29
15
16
52
29
25
20
21
27
23
61
28
65
38
37
29
43
31
42
59
34
23
31
23
40
23
35
33
27
22
17
36
59
42
22
20
27
27
30
38
28
17
35
32
21
48
28
24
23
60
20
24
28
33
35
18
74
39
19
19
19
31
31
32
16
18
21
21
33
33
27
32
15
22
23
21
19
16
51
17
13
15
16
17
34
33
28
17
22
29
33
40
28
28
38
21
17
30
35
59
42
30
18
20
22
23
27
19
29
