"state","id","2014","2015","2016","2017"
"Alabama",1,3.61095890410959,2.83287671232877,3.58630136986301,4.0027397260274
"Alaska",2,0.4,1.04109589041096,1.21917808219178,0.868493150684931
"Arizona",4,1.52328767123288,1.31506849315068,1.51780821917808,1.60821917808219
"Arkansas",5,1.56712328767123,1.47397260273973,1.97260273972603,2.24657534246575
"California",6,10.2246575342466,8.86027397260274,9.90958904109589,12.5698630136986
"Colorado",8,1.52328767123288,2.15890410958904,2.22465753424658,2.21643835616438
"Connecticut",9,1.5972602739726,2.01917808219178,2.2,2.13698630136986
"Delaware",10,1.35068493150685,1.0027397260274,0.898630136986301,1.06575342465753
"District of Columbia",11,2.2958904109589,1.47397260273973,1.36164383561644,3.12876712328767
"Florida",12,8.5972602739726,7.4027397260274,11.5095890410959,11.386301369863
"Georgia",13,5.56712328767123,7.58082191780822,4.67945205479452,5.46301369863014
"Hawaii",15,0.131506849315068,0.205479452054795,0.216438356164384,0.186301369863014
"Idaho",16,0.315068493150685,0.484931506849315,0.424657534246575,0.446575342465753
"Illinois",17,8.47945205479452,9.46849315068493,13.8493150684932,13.9424657534247
"Indiana",18,3.2958904109589,3.61643835616438,4.13972602739726,4.06301369863014
"Iowa",19,1.55890410958904,1.60821917808219,1.80547945205479,1.60547945205479
"Kansas",20,1.04383561643836,1.26301369863014,1.56712328767123,1.58356164383562
"Kentucky",21,2.67671232876712,2.5041095890411,2.7972602739726,2.82191780821918
"Louisiana",22,5.22191780821918,4.63561643835616,5.67123287671233,5.44383561643836
"Maine",23,0.501369863013699,0.632876712328767,0.635616438356164,0.556164383561644
"Maryland",24,3.46849315068493,3.51780821917808,3.54246575342466,4.32602739726027
"Massachusetts",25,2.65205479452055,3.66575342465753,4.23013698630137,4.82465753424658
"Michigan",26,3.96438356164384,3.47397260273973,3.60547945205479,3.72602739726027
"Minnesota",27,1.23287671232877,1.12328767123288,1.28219178082192,2.07945205479452
"Mississippi",28,2.14794520547945,1.81095890410959,2.33424657534247,2.81917808219178
"Missouri",29,3.48493150684931,4.66301369863014,4.25205479452055,4.73972602739726
"Montana",30,0.350684931506849,0.383561643835616,0.443835616438356,0.457534246575342
"Nebraska",31,0.950684931506849,1.02465753424658,1.04383561643836,1.2027397260274
"Nevada",32,1.03013698630137,1.34520547945205,1.46849315068493,1.1972602739726
"New Hampshire",33,0.63013698630137,0.572602739726027,0.745205479452055,0.564383561643836
"New Jersey",34,4.16712328767123,2.90958904109589,3.35342465753425,3.67671232876712
"New Mexico",35,0.876712328767123,1.08219178082192,1.09315068493151,1.22739726027397
"New York",36,5.21369863013699,7.95342465753425,6.90958904109589,5.56438356164384
"North Carolina",37,5.93150684931507,5.08493150684932,5.75616438356164,5.86575342465753
"North Dakota",38,0.301369863013699,0.408219178082192,0.410958904109589,0.364383561643836
"Ohio",39,6.48767123287671,5.84109589041096,6.69041095890411,7.4
"Oklahoma",40,1.75890410958904,2.3013698630137,2.46027397260274,2.37260273972603
"Oregon",41,1.09041095890411,1.87945205479452,1.51232876712329,1.4
"Pennsylvania",42,6.21095890410959,4.9013698630137,5.98630136986301,5.95068493150685
"Rhode Island",44,0.517808219178082,0.619178082191781,0.649315068493151,0.523287671232877
"South Carolina",45,4.54794520547945,4.64657534246575,4.08219178082192,4.71506849315069
"South Dakota",46,0.197260273972603,0.282191780821918,0.394520547945205,0.545205479452055
"Tennessee",47,4.35616438356164,4.83013698630137,5.51780821917808,5.13424657534247
"Texas",48,8.58356164383562,8.97534246575342,9.87945205479452,7.87671232876712
"Utah",49,0.594520547945205,0.887671232876712,0.684931506849315,0.613698630136986
"Vermont",50,0.465753424657534,0.320547945205479,0.257534246575342,0.194520547945205
"Virginia",51,3.48767123287671,3.63287671232877,4.32328767123288,4.03561643835616
"Washington",53,1.7972602739726,2.53424657534247,2.1041095890411,2.41369863013699
"West Virginia",54,0.991780821917808,0.936986301369863,1.09315068493151,1.06849315068493
"Wisconsin",55,2.91780821917808,3.06027397260274,2.35342465753425,3.75068493150685
"Wyoming",56,0.175342465753425,0.542465753424658,0.347945205479452,0.249315068493151
